"code","candidate_txt","prediction","candidate","names","Data","Language","Social","Experience","crit","train"
"brotundkäs","cand1",1,1,"Joana",0,0,0,0,0,0
"brotundkäs","cand2",4,2,"Filipa",1,0,0,0,4,1
"brotundkäs","cand3",2,3,"Simone",0,1,0,0,3,1
"brotundkäs","cand4",6,4,"Ulrike",1,1,0,0,7,0
"brotundkäs","cand5",3,5,"Ute",0,0,1,0,2,0
"brotundkäs","cand6",7,6,"Rita",1,0,1,0,6,1
"brotundkäs","cand7",7,7,"Bettina",0,1,1,0,5,0
"brotundkäs","cand8",9,8,"Guilia",1,1,1,0,9,1
"brotundkäs","cand9",1,9,"Fernande",0,0,0,1,1,1
"brotundkäs","cand10",4,10,"Maria",1,0,0,1,5,0
"brotundkäs","cand11",5,11,"Bela",0,1,0,1,4,0
"brotundkäs","cand12",8,12,"Salome",1,1,0,1,8,1
"brotundkäs","cand13",4,13,"Manuela",0,0,1,1,3,0
"brotundkäs","cand14",8,14,"Dominque",1,0,1,1,7,0
"brotundkäs","cand15",6,15,"Jule",0,1,1,1,6,0
"brotundkäs","cand16",10,16,"Tina",1,1,1,1,10,0
"l76K","cand1",0,1,"Joana",0,0,0,0,0,0
"l76K","cand2",1,2,"Filipa",1,0,0,0,4,1
"l76K","cand3",2,3,"Simone",0,1,0,0,3,1
"l76K","cand4",2,4,"Ulrike",1,1,0,0,7,0
"l76K","cand5",1,5,"Ute",0,0,1,0,2,0
"l76K","cand6",3,6,"Rita",1,0,1,0,6,1
"l76K","cand7",3,7,"Bettina",0,1,1,0,5,0
"l76K","cand8",9,8,"Guilia",1,1,1,0,9,1
"l76K","cand9",1,9,"Fernande",0,0,0,1,1,1
"l76K","cand10",4,10,"Maria",1,0,0,1,5,0
"l76K","cand11",4,11,"Bela",0,1,0,1,4,0
"l76K","cand12",8,12,"Salome",1,1,0,1,8,1
"l76K","cand13",3,13,"Manuela",0,0,1,1,3,0
"l76K","cand14",9,14,"Dominque",1,0,1,1,7,0
"l76K","cand15",3,15,"Jule",0,1,1,1,6,0
"l76K","cand16",10,16,"Tina",1,1,1,1,10,0
"JW2648","cand1",1,1,"Joana",0,0,0,0,0,0
"JW2648","cand2",3,2,"Filipa",1,0,0,0,4,1
"JW2648","cand3",2,3,"Simone",0,1,0,0,3,1
"JW2648","cand4",6,4,"Ulrike",1,1,0,0,7,0
"JW2648","cand5",2,5,"Ute",0,0,1,0,2,0
"JW2648","cand6",6,6,"Rita",1,0,1,0,6,1
"JW2648","cand7",4,7,"Bettina",0,1,1,0,5,0
"JW2648","cand8",8,8,"Guilia",1,1,1,0,9,1
"JW2648","cand9",1,9,"Fernande",0,0,0,1,1,1
"JW2648","cand10",7,10,"Maria",1,0,0,1,5,0
"JW2648","cand11",4,11,"Bela",0,1,0,1,4,0
"JW2648","cand12",8,12,"Salome",1,1,0,1,8,1
"JW2648","cand13",6,13,"Manuela",0,0,1,1,3,0
"JW2648","cand14",8,14,"Dominque",1,0,1,1,7,0
"JW2648","cand15",8,15,"Jule",0,1,1,1,6,0
"JW2648","cand16",10,16,"Tina",1,1,1,1,10,0
"0.o","cand1",0,1,"Joana",0,0,0,0,0,0
"0.o","cand2",4,2,"Filipa",1,0,0,0,4,1
"0.o","cand3",2,3,"Simone",0,1,0,0,3,1
"0.o","cand4",7,4,"Ulrike",1,1,0,0,7,0
"0.o","cand5",3,5,"Ute",0,0,1,0,2,0
"0.o","cand6",6,6,"Rita",1,0,1,0,6,1
"0.o","cand7",6,7,"Bettina",0,1,1,0,5,0
"0.o","cand8",9,8,"Guilia",1,1,1,0,9,1
"0.o","cand9",1,9,"Fernande",0,0,0,1,1,1
"0.o","cand10",5,10,"Maria",1,0,0,1,5,0
"0.o","cand11",5,11,"Bela",0,1,0,1,4,0
"0.o","cand12",6,12,"Salome",1,1,0,1,8,1
"0.o","cand13",4,13,"Manuela",0,0,1,1,3,0
"0.o","cand14",7,14,"Dominque",1,0,1,1,7,0
"0.o","cand15",5,15,"Jule",0,1,1,1,6,0
"0.o","cand16",10,16,"Tina",1,1,1,1,10,0
"AEL16","cand1",0,1,"Joana",0,0,0,0,0,0
"AEL16","cand2",4,2,"Filipa",1,0,0,0,4,1
"AEL16","cand3",3,3,"Simone",0,1,0,0,3,1
"AEL16","cand4",7,4,"Ulrike",1,1,0,0,7,0
"AEL16","cand5",2,5,"Ute",0,0,1,0,2,0
"AEL16","cand6",6,6,"Rita",1,0,1,0,6,1
"AEL16","cand7",5,7,"Bettina",0,1,1,0,5,0
"AEL16","cand8",9,8,"Guilia",1,1,1,0,9,1
"AEL16","cand9",4,9,"Fernande",0,0,0,1,1,1
"AEL16","cand10",5,10,"Maria",1,0,0,1,5,0
"AEL16","cand11",4,11,"Bela",0,1,0,1,4,0
"AEL16","cand12",8,12,"Salome",1,1,0,1,8,1
"AEL16","cand13",3,13,"Manuela",0,0,1,1,3,0
"AEL16","cand14",7,14,"Dominque",1,0,1,1,7,0
"AEL16","cand15",6,15,"Jule",0,1,1,1,6,0
"AEL16","cand16",10,16,"Tina",1,1,1,1,10,0
"PNMV","cand1",0,1,"Joana",0,0,0,0,0,0
"PNMV","cand2",3,2,"Filipa",1,0,0,0,4,1
"PNMV","cand3",3,3,"Simone",0,1,0,0,3,1
"PNMV","cand4",6,4,"Ulrike",1,1,0,0,7,0
"PNMV","cand5",2,5,"Ute",0,0,1,0,2,0
"PNMV","cand6",6,6,"Rita",1,0,1,0,6,1
"PNMV","cand7",6,7,"Bettina",0,1,1,0,5,0
"PNMV","cand8",9,8,"Guilia",1,1,1,0,9,1
"PNMV","cand9",1,9,"Fernande",0,0,0,1,1,1
"PNMV","cand10",5,10,"Maria",1,0,0,1,5,0
"PNMV","cand11",5,11,"Bela",0,1,0,1,4,0
"PNMV","cand12",9,12,"Salome",1,1,0,1,8,1
"PNMV","cand13",6,13,"Manuela",0,0,1,1,3,0
"PNMV","cand14",9,14,"Dominque",1,0,1,1,7,0
"PNMV","cand15",7,15,"Jule",0,1,1,1,6,0
"PNMV","cand16",10,16,"Tina",1,1,1,1,10,0
"14897","cand1",0,1,"Joana",0,0,0,0,0,0
"14897","cand2",4,2,"Filipa",1,0,0,0,4,1
"14897","cand3",3,3,"Simone",0,1,0,0,3,1
"14897","cand4",6,4,"Ulrike",1,1,0,0,7,0
"14897","cand5",4,5,"Ute",0,0,1,0,2,0
"14897","cand6",6,6,"Rita",1,0,1,0,6,1
"14897","cand7",6,7,"Bettina",0,1,1,0,5,0
"14897","cand8",9,8,"Guilia",1,1,1,0,9,1
"14897","cand9",1,9,"Fernande",0,0,0,1,1,1
"14897","cand10",6,10,"Maria",1,0,0,1,5,0
"14897","cand11",6,11,"Bela",0,1,0,1,4,0
"14897","cand12",8,12,"Salome",1,1,0,1,8,1
"14897","cand13",6,13,"Manuela",0,0,1,1,3,0
"14897","cand14",9,14,"Dominque",1,0,1,1,7,0
"14897","cand15",8,15,"Jule",0,1,1,1,6,0
"14897","cand16",10,16,"Tina",1,1,1,1,10,0
"abc","cand1",0,1,"Joana",0,0,0,0,0,0
"abc","cand2",2,2,"Filipa",1,0,0,0,4,1
"abc","cand3",2,3,"Simone",0,1,0,0,3,1
"abc","cand4",5,4,"Ulrike",1,1,0,0,7,0
"abc","cand5",2,5,"Ute",0,0,1,0,2,0
"abc","cand6",6,6,"Rita",1,0,1,0,6,1
"abc","cand7",5,7,"Bettina",0,1,1,0,5,0
"abc","cand8",9,8,"Guilia",1,1,1,0,9,1
"abc","cand9",3,9,"Fernande",0,0,0,1,1,1
"abc","cand10",6,10,"Maria",1,0,0,1,5,0
"abc","cand11",4,11,"Bela",0,1,0,1,4,0
"abc","cand12",8,12,"Salome",1,1,0,1,8,1
"abc","cand13",5,13,"Manuela",0,0,1,1,3,0
"abc","cand14",9,14,"Dominque",1,0,1,1,7,0
"abc","cand15",9,15,"Jule",0,1,1,1,6,0
"abc","cand16",10,16,"Tina",1,1,1,1,10,0
